2010-02-01T05:12:32.921+0000|1039993|3981||Lei Liu
2010-02-01T12:47:47.921+0000|1048874|974||Heinz Frank
2010-02-01T20:49:17.921+0000|1039994|3981||Lei Liu
2010-02-02T00:09:32.921+0000|1048864|974||Heinz Frank
2010-02-02T01:20:47.921+0000|1048869|974||Heinz Frank
2010-02-02T01:25:17.921+0000|1048865|974||Heinz Frank
2010-02-02T03:02:02.921+0000|1048896|974||Heinz Frank
2010-02-02T03:05:02.921+0000|1048889|974||Heinz Frank
2010-02-02T03:33:32.921+0000|1048902|974||Heinz Frank
2010-02-02T04:23:02.921+0000|1048861|974||Heinz Frank
2010-02-02T04:23:02.921+0000|529360|974||Heinz Frank
